originAggRegion,destinationAggRegion,year,count
SE Asia & Pacific,SE Europe,2000,1
SE Asia & Pacific,SE Europe,2001,13
SE Asia & Pacific,SE Europe,2002,8
SE Asia & Pacific,SE Europe,2003,6
SE Asia & Pacific,SE Europe,2004,3
SE Asia & Pacific,SE Europe,2005,38
SE Asia & Pacific,SE Europe,2006,1505
SE Asia & Pacific,SE Europe,2007,1568
SE Asia & Pacific,SE Europe,2008,1603
SE Asia & Pacific,SE Europe,2009,1989
SE Asia & Pacific,SE Europe,2010,287
SE Europe,Africa,1986,7
SE Europe,Africa,1990,5
SE Europe,Africa,1996,3
SE Europe,Africa,1997,12
SE Europe,Africa,2000,1
SE Europe,Africa,2001,1
SE Europe,Africa,2002,13
SE Europe,Africa,2003,8
SE Europe,Africa,2004,8
SE Europe,Africa,2005,8
SE Europe,Africa,2006,230
SE Europe,Africa,2007,500
SE Europe,Africa,2008,391
SE Europe,Africa,2009,336
SE Europe,Africa,2010,35
SE Europe,Latin America,2001,1
SE Europe,Latin America,2002,2
SE Europe,Latin America,2003,4
SE Europe,Latin America,2004,2
SE Europe,Latin America,2005,12
SE Europe,Latin America,2006,318
SE Europe,Latin America,2007,395
SE Europe,Latin America,2008,212
